Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (Pfam)
P40011	RRAAH_YEAST	reviewed	4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)	YER010C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234	PF03737;
Q02753	RL21A_YEAST	reviewed	60S ribosomal protein L21-A (Large ribosomal subunit protein eL21-A)	RPL21A URP1 YBR191W YBR1401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	PF01157;
P09938	RIR2_YEAST	reviewed	Ribonucleoside-diphosphate reductase small chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 1) (Ribonucleotide reductase small subunit 1)	RNR2 CRT6 YJL026W J1271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	399	PF00268;
P48581	RAD17_YEAST	reviewed	DNA damage checkpoint control protein RAD17 (DNA repair exonuclease RAD17)	RAD17 YOR368W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	401	PF02144;
P32628	RAD23_YEAST	reviewed	UV excision repair protein RAD23	RAD23 YEL037C SYGP-ORF29	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	398	PF00627;PF00240;PF09280;
P32641	RAD24_YEAST	reviewed	Checkpoint protein RAD24	RAD24 YER173W SYGP-ORF60	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	659	
Q04231	RAD33_YEAST	reviewed	DNA repair protein RAD33	RAD33 YML011C YM9571.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177	PF08730;
P06839	RAD3_YEAST	reviewed	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (DNA repair helicase RAD3) (RNA polymerase II transcription factor B subunit RAD3) (TFB subunit RAD3)	RAD3 REM1 YER171W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	778	PF06733;PF06777;PF13307;
P56628	RL22B_YEAST	reviewed	60S ribosomal protein L22-B (L1c) (Large ribosomal subunit protein eL22-B) (RP4) (YL31)	RPL22B YFL034C-A YFL034BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	PF01776;
P25454	RAD51_YEAST	reviewed	DNA repair protein RAD51	RAD51 YER095W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400	PF08423;
P0C2H7	RL27B_YEAST	reviewed	60S ribosomal protein L27-B (Large ribosomal subunit protein eL27-B)	RPL27B RPL27 YDR471W D8035.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	PF01777;
Q12090	REXO3_YEAST	reviewed	RNA exonuclease 3 (EC 3.1.-.-)	REX3 YLR107W L2904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404	
Q99359	RAD61_YEAST	reviewed	Protein RAD61 (Radiation sensitivity protein 61)	RAD61 YDR014W PZB647	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	647	PF16997;
Q05131	RCH1_YEAST	reviewed	Solute carrier RCH1 (Regulator of calcium homeostasis 1)	RCH1 YMR034C YM9973.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434	PF13593;
P38623	RCK2_YEAST	reviewed	Serine/threonine-protein kinase RCK2 (EC 2.7.11.1) (CAM kinase-like protein kinase CLK1)	RCK2 CLK1 CMK3 YLR248W L9672.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	610	PF00069;
P38622	RCK1_YEAST	reviewed	Serine/threonine-protein kinase RCK1 (EC 2.7.11.1)	RCK1 YGL158W G1854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512	PF00069;
Q05672	RBS1_YEAST	reviewed	RNA-binding suppressor of PAS kinase protein 1	RBS1 YDL189W D1266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457	PF01424;
Q03496	TR732_YEAST	reviewed	tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732	TRM732 YMR259C YM8156.01C YM9920.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1420	PF10350;
P32600	TOR2_YEAST	reviewed	Serine/threonine-protein kinase TOR2 (EC 2.7.1.67) (EC 2.7.11.1) (Dominant rapamycin resistance protein 2) (Phosphatidylinositol 4-kinase TOR2) (PI4-kinase TOR2) (PI4K TOR2) (PtdIns-4-kinase TOR2) (Target of rapamycin kinase 2) (Temperature-sensitive CSG2 suppressor protein 14)	TOR2 DRR2 TSC14 YKL203C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2474	PF11865;PF02259;PF02260;PF08771;PF00454;
P53075	SHE10_YEAST	reviewed	Outer spore wall assembly protein SHE10 (Sensitivity to high expression protein 10)	SHE10 YGL228W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577	
P36126	SPO14_YEAST	reviewed	Phospholipase D1 (PLD 1) (EC 3.1.4.4) (Choline phosphatase 1) (Meiosis-specific sporulation-specific protein 14) (Phosphatidylcholine-hydrolyzing phospholipase D1)	SPO14 PLD1 YKR031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1683	PF00614;
Q04675	SEN15_YEAST	reviewed	tRNA-splicing endonuclease subunit SEN15 (Splicing endonuclease of 15 kDa) (tRNA-intron endonuclease SEN15)	SEN15 YMR059W YM9796.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128	PF09631;
P07172	HIS8_YEAST	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	HIS5 YIL116W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	PF00155;
P19882	HSP60_YEAST	reviewed	Heat shock protein 60, mitochondrial (CPN60) (P66) (Stimulator factor I 66 kDa component)	HSP60 MIF4 YLR259C L8479.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572	PF00118;
P15992	HSP26_YEAST	reviewed	Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214	PF00011;
Q12214	HOS1_YEAST	reviewed	Histone deacetylase HOS1 (EC 3.5.1.98)	HOS1 YPR068C YP9499.23C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	470	PF00850;
P21190	IME1_YEAST	reviewed	Meiosis-inducing protein 1	IME1 YJR094C J1916	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360	
P38798	NMD2_YEAST	reviewed	Nonsense-mediated mRNA decay protein 2 (Up-frameshift suppressor 2)	NMD2 IFS1 SUA1 UPF2 YHR077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1089	PF02854;PF04050;
P24867	PCL1_YEAST	reviewed	PHO85 cyclin-1 (Cyclin HCS26) (G1/S-specific cyclin PCL1)	PCL1 HCS26 YNL289W N0536	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	279	PF00134;
P38830	NDT80_YEAST	reviewed	Meiosis-specific transcription factor NDT80	NDT80 DAS1 YHR124W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	627	PF05224;
P13433	RPOM_YEAST	reviewed	DNA-directed RNA polymerase, mitochondrial (EC 2.7.7.6)	RPO41 YFL036W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1351	PF00940;PF14700;
P40160	RIO2_YEAST	reviewed	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1)	RIO2 YNL207W N1342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	425	PF09202;
P26784	RL16A_YEAST	reviewed	60S ribosomal protein L16-A (L13a) (L21) (Large ribosomal subunit protein uL13-A) (RP22) (YL15)	RPL16A RPL13 RPL21A YIL133C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199	PF00572;
Q08647	PUS7_YEAST	reviewed	Multisubstrate pseudouridine synthase 7 (EC 5.4.99.-) (EC 5.4.99.27) (RNA pseudouridylate synthase 7) (RNA-uridine isomerase 7) (tRNA pseudouridine(13) synthase)	PUS7 YOR243C O5254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	676	PF01142;
P08468	PT111_YEAST	reviewed	Protein PET111, mitochondrial	PET111 YMR257C YM9920.11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	800	
P38230	QOR_YEAST	reviewed	Probable quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase)	ZTA1 YBR046C YBR0421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	PF08240;PF00107;
P12689	REV1_YEAST	reviewed	DNA repair protein REV1 (EC 2.7.7.-) (Reversionless protein 1)	REV1 YOR346W O6339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985	PF16589;PF00817;PF11799;
Q3E757	RL11B_YEAST	reviewed	60S ribosomal protein L11-B (L16) (Large ribosomal subunit protein uL5-B) (RP39) (YL22)	RPL11B RP39B RPL16B YGR085C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	174	PF00281;PF00673;
Q04007	SND1_YEAST	reviewed	SRP-independent targeting protein 1	SND1 YDR186C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	877	
P08458	SPS1_YEAST	reviewed	Sporulation-specific protein 1 (EC 2.7.11.1)	SPS1 YDR523C D9719.27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490	PF00069;
P25380	SPS22_YEAST	reviewed	Sporulation-specific protein 22	SPS22 YCL048W YCL48W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463	
P09937	SPS4_YEAST	reviewed	Sporulation-specific protein 4	SPS4 YOR313C O6120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338	
P38804	SDO1L_YEAST	reviewed	Restriction of telomere capping protein 3	RTC3 YHR087W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	PF01172;
Q12049	THP3_YEAST	reviewed	Protein THP3 (THO-related protein 3)	THP3 YPR045C YP9499.03c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	470	PF03399;
Q12463	TRM11_YEAST	reviewed	tRNA (guanine(10)-N2)-methyltransferase (EC 2.1.1.214) (tRNA [Gm10] methyltransferase) (tRNA guanosine-2'-O-methyltransferase TRM11) (tRNA methylase 11)	TRM11 YOL124C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	PF01170;
P09880	TRNL_YEAST	reviewed	tRNA ligase (EC 6.5.1.3)	TRL1 RLG1 YJL087C J0927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827	PF09511;PF08302;PF08303;
P53047	RTA1_YEAST	reviewed	Protein RTA1	RTA1 YGR213C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	PF04479;
P38164	SEA4_YEAST	reviewed	SEH-associated protein 4	SEA4 YBL104C YBL0808 YBL103C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1038	PF17034;
P07560	SEC4_YEAST	reviewed	Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	SEC4 SRO6 YFL005W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215	PF00071;
P19211	IF5A2_YEAST	reviewed	Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (Anaerobically induced protein 1) (Hypusine-containing protein HP1) (eIF-4D)	ANB1 HYP1 TIF51B YJR047C J1651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157	PF01287;
P32589	HSP7F_YEAST	reviewed	Heat shock protein homolog SSE1 (Chaperone protein MSI3)	SSE1 MSI3 YPL106C LPG3C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	693	PF00012;
P43579	IES1_YEAST	reviewed	Ino eighty subunit 1	IES1 YFL013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	692	
P33734	HIS5_YEAST	reviewed	Imidazole glycerol phosphate synthase hisHF (IGP synthase) (IGPS) (ImGP synthase) (EC 4.3.2.10) [Includes: Glutaminase (EC 3.5.1.2); Cyclase]	HIS7 YBR248C YBR1640	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	552	PF00117;PF00977;
P53258	GYP2_YEAST	reviewed	GTPase-activating protein GYP2 (MAC1-dependent regulator) (Protein MIC1)	MDR1 GYP2 MIC1 YGR100W G5717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	950	PF02893;PF00566;
P43570	GYP8_YEAST	reviewed	GTPase-activating protein GYP8	GYP8 YFL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497	PF00566;
P52489	KPYK2_YEAST	reviewed	Pyruvate kinase 2 (PK 2) (EC 2.7.1.40)	PYK2 YOR347C O6342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506	PF00224;PF02887;
P38274	HSL7_YEAST	reviewed	Protein arginine N-methyltransferase HSL7 (EC 2.1.1.320) (Histone synthetic lethal protein 7) (Type II protein arginine N-methyltransferase) (Type II PRMT)	HSL7 YBR133C YBR1008	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827	PF05185;PF17286;PF17285;
P43615	IRC6_YEAST	reviewed	Increased recombination centers protein 6	IRC6 YFR043C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	
Q08001	LAM6_YEAST	reviewed	Membrane-anchored lipid-binding protein LAM6 (Lipid transfer at contact site protein 1) (Lipid transfer protein anchored at membrane contact sites 1)	LAM6 LTC1 YLR072W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	693	PF02893;PF16016;
P47123	MOG1_YEAST	reviewed	Nuclear import protein MOG1 (Multicopy suppressor of GSP1)	MOG1 YJR074W J1827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	218	PF04603;
P25270	MRM1_YEAST	reviewed	rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (21S rRNA (guanosine(2270)-2'-O)-methyltransferase) (21S rRNA [Gm2270] 2'-O-methyltransferase) (Mitochondrial large ribosomal RNA ribose methylase) (Petite colonies protein 56)	MRM1 PET56 YOR201C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	412	PF00588;PF08032;
Q04477	SPC24_YEAST	reviewed	Kinetochore protein SPC24	SPC24 YMR117C YM9718.16C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213	PF08286;
P11655	SEC12_YEAST	reviewed	Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12)	SEC12 SED2 YNR026C N3244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	471	
P40054	SERA_YEAST	reviewed	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER3 YER081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469	PF00389;PF02826;
P41814	TRM6_YEAST	reviewed	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (General control non-derepressible protein 10) (Protein GCD10) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)	GCD10 TIF33 TRM6 YNL062C N2422	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	478	PF04189;
P17065	SEC2_YEAST	reviewed	Rab guanine nucleotide exchange factor SEC2 (GDP-GTP exchange factor SEC2)	SEC2 YNL272C N0641	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	759	PF06428;
Q03774	TRM82_YEAST	reviewed	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 (Transfer RNA methyltransferase 82)	TRM82 YDR165W YD8358.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	
P20048	SEC59_YEAST	reviewed	Dolichol kinase (EC 2.7.1.108)	SEC59 YMR013C YM8270.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	519	
Q06411	SP382_YEAST	reviewed	Pre-mRNA-splicing factor SPP382 (CLF1 complex factor 8) (Nineteen complex-related protein 1) (NTC-related protein 1) (Suppressor of PRP38 protein 2)	SPP382 CCF8 NTR1 YLR424W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	708	PF01585;
P38827	SET1_YEAST	reviewed	Histone-lysine N-methyltransferase, H3 lysine-4 specific (EC 2.1.1.354) (COMPASS component SET1) (Lysine N-methyltransferase 2) (SET domain-containing protein 1)	SET1 KMT2 YTX1 YHR119W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1080	PF11764;PF00856;PF11767;
Q08932	RSA1_YEAST	reviewed	Ribosome assembly 1 protein	RSA1 YPL193W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381	PF10453;
P25808	SPB4_YEAST	reviewed	ATP-dependent rRNA helicase SPB4 (EC 3.6.4.13) (Suppressor of PAB1 protein 4)	SPB4 YFL002C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	606	PF00270;PF13959;PF00271;
P33303	SFC1_YEAST	reviewed	Succinate/fumarate mitochondrial transporter (Regulator of acetyl-CoA synthase activity)	SFC1 ACR1 YJR095W J1921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322	PF00153;
P38861	NMD3_YEAST	reviewed	60S ribosomal export protein NMD3 (Nonsense-mediated mRNA decay protein 3)	NMD3 YHR170W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	518	PF04981;
P23796	RIT1_YEAST	reviewed	tRNA A64-2'-O-ribosylphosphate transferase (EC 2.4.2.-) (Initiator tRNA phosphoribosyl-transferase)	RIT1 YMR283C YM8021.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	PF04179;PF17184;
P53721	RCF2_YEAST	reviewed	Respiratory supercomplex factor 2, mitochondrial (Altered inheritance of mitochondria protein 38)	RCF2 AIM38 YNR018W N3185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224	PF04588;
P50943	RRT16_YEAST	reviewed	Putative regulator of rDNA transcription protein 16	RRT16 YNL105W N2169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	142	
P21651	RE107_YEAST	reviewed	Recombination protein 107 (Meiotic recombination protein 2)	REC107 MER2 YJR021C J1462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	314	PF09074;
P21538	REB1_YEAST	reviewed	DNA-binding protein REB1 (QBP)	REB1 GRF2 YBR049C YBR0502	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	810	
P54113	PUR91_YEAST	reviewed	Bifunctional purine biosynthesis protein ADE16 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE16 YLR028C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	PF01808;PF02142;
P30402	PYRX_YEAST	reviewed	Orotate phosphoribosyltransferase 2 (OPRT 2) (OPRTase 2) (EC 2.4.2.10)	URA10 YMR271C YM8156.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	227	PF00156;
P32522	PT309_YEAST	reviewed	Pentatricopeptide repeat-containing protein PET309, mitochondrial	PET309 YLR067C L2189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	965	
P0CX44	RL1B_YEAST	reviewed	60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)	RPL1B SSM1B SSM2 YGL135W G2834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217	PF00687;
P0CX43	RL1A_YEAST	reviewed	60S ribosomal protein L1-A (L10a) (Large ribosomal subunit protein uL1-A)	RPL1A SSM1 SSM1A YPL220W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217	PF00687;
P34222	PTH2_YEAST	reviewed	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)	PTH2 YBL057C YBL0510 YBL0514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208	PF01981;
P39954	SAHH_YEAST	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	SAH1 YER043C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	449	PF05221;PF00670;
P32901	PTR2_YEAST	reviewed	Peptide transporter PTR2 (Peptide permease PTR2)	PTR2 YKR093W YKR413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	601	PF00854;
P13188	SYQ_YEAST	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	GLN4 YOR168W O3601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	809	PF00749;PF03950;PF04558;PF04557;
Q04053	SNX41_YEAST	reviewed	Sorting nexin-41	SNX41 YDR425W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625	PF00787;
P48561	TRF5_YEAST	reviewed	Poly(A) RNA polymerase protein 1 (EC 2.7.7.19) (Topoisomerase 1-related protein TRF5)	TRF5 YNL299W N0440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	PF01909;PF03828;
P38839	SPL2_YEAST	reviewed	Putative cyclin-dependent kinase inhibitor SPL2 (Suppressor of PLC1 deletion protein 2)	SPL2 YHR136C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	
Q07798	SPO75_YEAST	reviewed	Sporulation-specific protein 75	SPO75 YLL005C L1361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	868	PF02714;PF13967;
P40526	DFG10_YEAST	reviewed	Polyprenol reductase (EC 1.3.1.94) (Protein DFG10)	DFG10 YIL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	253	PF02544;
Q12743	DFM1_YEAST	reviewed	DER1-like family member protein 1	DFM1 YDR411C D9461.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341	PF04511;
P46947	CWC26_YEAST	reviewed	Pre-mRNA-splicing factor CWC26 (Bud site selection protein 13) (Complexed with CEF1 protein 26) (Synthetic lethal with CLF1 protein 7)	BUD13 CWC26 SLC7 YGL174W G1642	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266	PF09736;
Q04660	ERB1_YEAST	reviewed	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1 YMR049C YM9796.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	807	PF08145;PF00400;
P53130	GPG1_YEAST	reviewed	Heterotrimeric G protein gamma subunit GPG1	GPG1 YGL121C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	
Q04080	GPI17_YEAST	reviewed	GPI transamidase component GPI17	GPI17 YDR434W D9461.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534	PF10510;
P05453	ERF3_YEAST	reviewed	Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	685	PF00009;PF03144;PF03143;
P40030	ERG28_YEAST	reviewed	Ergosterol biosynthetic protein 28	ERG28 BUD18 YER044C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	PF03694;
Q04201	CUE4_YEAST	reviewed	CUE domain-containing protein CUE4 (Coupling of ubiquitin conjugation to ER degradation protein 4)	CUE4 YML101C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117	PF02845;
P02992	EFTU_YEAST	reviewed	Elongation factor Tu, mitochondrial (tufM)	TUF1 TUFM YOR187W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	PF00009;PF03144;PF03143;
P38144	ISW1_YEAST	reviewed	ISWI chromatin-remodeling complex ATPase ISW1 (EC 3.6.4.-)	ISW1 YBR245C YBR1633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1129	PF09110;PF00271;PF09111;PF00176;
P33308	MED9_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 9 (Chromosome segregation protein 2) (Mediator complex subunit 9)	CSE2 MED9 YNR010W N2046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149	PF07544;
Q01159	MCE1_YEAST	reviewed	mRNA-capping enzyme subunit alpha (GTP--RNA guanylyltransferase) (GTase) (mRNA guanylyltransferase) (EC 2.7.7.50)	CEG1 YGL130W G2853	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	459	PF03919;PF01331;
Q07980	MLH2_YEAST	reviewed	DNA mismatch repair protein MLH2 (MutL protein homolog 2)	MLH2 YLR035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	695	PF01119;
P50085	PHB2_YEAST	reviewed	Prohibitin-2	PHB2 YGR231C G8561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310	PF01145;
P27476	NSR1_YEAST	reviewed	Nuclear localization sequence-binding protein (p67)	NSR1 YGR159C G7001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	414	PF00076;
P38754	RL14B_YEAST	reviewed	60S ribosomal protein L14-B (Large ribosomal subunit protein eL14-B)	RPL14B YHL001W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	138	PF01929;
P36002	PTK1_YEAST	reviewed	Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)	PTK1 POT1 STK1 YKL198C YKL199C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	662	PF00069;
Q07807	PUF3_YEAST	reviewed	mRNA-binding protein PUF3 (Pumilio homology domain family member 3)	PUF3 YLL013C L1325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	879	PF00806;
